original_title,release_date,genres,keywords,actors,director
American Hustle,2013-12-03,"['Drama', 'Crime']","['new jersey', '1970s', 'fbi', 'mayor', 'con artist', 'mobster', 'scam', 'hair', 'century']","['Christian Bale', 'Bradley Cooper', 'Amy Adams', 'Jeremy Renner', 'Jennifer Lawrence', 'Louis C.K.', 'Jack Huston', 'Michael Peña', 'Shea Whigham', 'Alessandro Nivola']",David O. Russell
Ocean's Twelve,2004-12-09,"['Thriller', 'Crime']","['rome, italy', 'sequel', 'heist', 'fabergé egg', 'golden egg', 'goon']","['George Clooney', 'Brad Pitt', 'Matt Damon', 'Catherine Zeta-Jones', 'Andy García', 'Don Cheadle', 'Bernie Mac', 'Julia Roberts', 'Casey Affleck', 'Scott Caan']",Steven Soderbergh
The Kissing Booth,2018-05-11,"['Romance', 'Comedy']","['based on novel or book', 'crush', 'los angeles, california', 'high school student', 'based on young adult novel']","['Joey King', 'Joel Courtney', 'Jacob Elordi', 'Molly Ringwald', 'Stephen Jennings', 'Carson White', 'Meganne Young', 'Frances Sholto-Douglas', 'Nathan Lynn', 'Byron Langley']",Andre Weavind
Fast & Furious,2009-04-02,"['Action', 'Crime', 'Drama', 'Thriller']","['sibling relationship', 'car race', 'gambling', 'ex-lover', 'fast', 'car crash', 'cop', 'street race']","['Vin Diesel', 'Paul Walker', 'Michelle Rodriguez', 'Jordana Brewster', 'John Ortiz', 'Laz Alonso', 'Gal Gadot', 'Jack Conley', 'Shea Whigham', 'Liza Lapira']",Justin Lin
Green Lantern,2011-06-14,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['superhero', 'transformation', 'based on comic', 'alien', 'alien infection', 'magical object', 'protector', 'based on graphic novel', 'super power']","['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard', 'Mark Strong', 'Tim Robbins', 'Angela Bassett', 'Temuera Morrison', 'Michael Clarke Duncan', 'Geoffrey Rush', 'Clancy Brown']",Martin Campbell
8 Mile,2002-11-08,"['Drama', 'Music']","['individual', 'adolescence', 'rap music', 'hip-hop', 'rhyme battle', 'trailer park', 'street gang', 'ethnic stereotype', 'rapper', 'ghetto', 'single', 'detroit, michigan', 'semi autobiographical', '1990s', 'battle rap']","['Eminem', 'Kim Basinger', 'Mekhi Phifer', 'Brittany Murphy', 'Evan Jones', 'Omar Benson Miller', ""De'Angelo Wilson"", 'Eugene Byrd', 'Taryn Manning', 'Larry Hudson']",Curtis Hanson
Grease,1978-07-07,"['Romance', 'Comedy']","['australia', 'high school', 'flying car', 'california', 'jealousy', 'street gang', 'cheerleader', 'dance competition', 'carnival', 'musical', 'based on play or musical', 'rivalry', 'high school graduation', 'high school friends', 'tv show in film', 'gossip', 'makeover', 'clique', 'greaser', 'school dance', 'animated credits', 'pep rally', 'wrong side of the tracks', 'mooning', 'opposites attract', 'letterman jacket', 'girl gang', 'track and field', 'summer romance', '1950s', 'sweethearts', 'street racing', 'west side story', 'goody two shoes', 'rival gang', 'going steady', 'two-faced', 'absurd']","['Olivia Newton-John', 'John Travolta', 'Stockard Channing', 'Jeff Conaway', 'Barry Pearl', 'Michael Tucci', 'Kelly Ward', 'Didi Conn', 'Jamie Donnelly', 'Dinah Manoff']",Randal Kleiser
The Mummy,2017-06-06,"['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']","['egypt', 'monster', 'supernatural', 'mummy', 'remake', 'tomb', 'egyptian mythology', 'dark universe']","['Tom Cruise', 'Annabelle Wallis', 'Sofia Boutella', 'Jake Johnson', 'Courtney B. Vance', 'Russell Crowe', 'Marwan Kenzari', 'Neil Maskell', 'Javier Botet', 'Andrew Brooke']",Mark Layton
F9,2021-05-19,"['Action', 'Adventure', 'Crime']","['speed', 'family relationships', 'sequel', 'duringcreditsstinger', 'fast car', 'brother brother relationship', 'farcical']","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena', 'Nathalie Emmanuel', 'Jordana Brewster', 'Sung Kang', 'Michael Rooker', 'Helen Mirren']",Justin Lin
Fast & Furious Presents: Hobbs & Shaw,2019-08-01,"['Action', 'Adventure', 'Comedy']","['london, england', 'biological weapon', 'secret organization', 'family clan', 'spin off', 'family reunion', 'buddy comedy', 'samoa', 'aftercreditsstinger', 'duringcreditsstinger', 'buddy movie', 'mother son relationship', 'father daughter relationship', 'brother sister relationship']","['Dwayne Johnson', 'Jason Statham', 'Idris Elba', 'Vanessa Kirby', 'Helen Mirren', 'Eiza González', 'Eddie Marsan', ""Eliana Su'a"", 'Cliff Curtis', 'Lori Pelenise Tuisano']",Paul Barry
Hugo,2011-11-22,"['Adventure', 'Drama', 'Family']","['paris, france', 'based on novel or book', 'library', 'clock tower', 'key', 'movie business', 'clock', 'museum', 'train accident', 'montparnasse', 'steampunk', 'orphan', 'robot', 'hiding', 'filmmaking', 'security guard', 'leg brace', 'doberman', 'toy store', 'runaway train', 'railway station', 'guard dog', 'toy maker', 'mechanics', 'mechanical toys', 'ticking clock', 'based on young adult novel', 'clockwork', 'train station', 'toy', 'stationmaster', 'clockmaker', 'mechanical dolls', 'film history']","['Asa Butterfield', 'Ben Kingsley', 'Chloë Grace Moretz', 'Sacha Baron Cohen', 'Ray Winstone', 'Emily Mortimer', 'Christopher Lee', 'Helen McCrory', 'Michael Stuhlbarg', 'Frances de la Tour']",Martin Scorsese
50 First Dates,2004-02-13,"['Comedy', 'Romance']","['amnesia', 'hawaii', 'romantic comedy', 'deception', 'womanizer', 'love', 'car accident', 'screwball comedy', 'short term memory loss', 'true love', 'romantic', 'joyful']","['Adam Sandler', 'Drew Barrymore', 'Rob Schneider', 'Sean Astin', 'Lusia Strus', 'Dan Aykroyd', 'Amy Hill', 'Allen Covert', 'Blake Clark', 'Maya Rudolph']",Peter Segal
Dark Shadows,2012-05-09,"['Comedy', 'Fantasy']","['witch', 'vampire', 'imprisonment', 'curse', 'fish out of water', 'chains', 'gothic', 'madness', 'old house', 'lost love', 'angry mob', '18th century', 'ghost', 'hidden room', 'old mansion', 'absurd', 'hilarious']","['Johnny Depp', 'Michelle Pfeiffer', 'Helena Bonham Carter', 'Eva Green', 'Jackie Earle Haley', 'Jonny Lee Miller', 'Chloë Grace Moretz', 'Bella Heathcote', 'Gulliver McGrath', 'Christopher Lee']",Tim Burton
Big Fish,2003-12-25,"['Adventure', 'Fantasy', 'Drama']","['witch', 'fish', ""love of one's life"", 'parent child relationship', 'circus', 'fishing', 'leech', 'story teller', 'fair', 'mermaid', 'apoplectic stroke', 'cancer', 'relationship', 'gentle giant', 'magic realism', 'reflective', 'witty', 'whimsical', 'excited']","['Ewan McGregor', 'Albert Finney', 'Billy Crudup', 'Jessica Lange', 'Helena Bonham Carter', 'Alison Lohman', 'Robert Guillaume', 'Marion Cotillard', 'Matthew McGrory', 'David Denman']",Tim Burton
Sully,2016-09-07,"['Drama', 'History']","['rescue', 'new york city', 'airplane', 'investigation', 'pilot', 'biography', 'based on true story', 'emergency landing', 'flight', 'travel', 'aviation', 'airplane accident', 'based on memoir or autobiography', 'hudson river', 'dramatic']","['Tom Hanks', 'Aaron Eckhart', 'Laura Linney', 'Anna Gunn', 'Autumn Reeser', 'Holt McCallany', ""Mike O'Malley"", 'Jamey Sheridan', 'Jerry Ferrara', 'Molly Hagan']",Frank Marshall
Juno,2007-12-05,"['Comedy', 'Drama', 'Romance']","['puberty', 'first time', 'becoming an adult', 'sexuality', 'pregnancy', 'adoption', 'precocity', 'partnership', 'pregnant minor', 'coming of age', 'teenage pregnancy']","['Elliot Page', 'Michael Cera', 'Jennifer Garner', 'Jason Bateman', 'J.K. Simmons', 'Allison Janney', 'Olivia Thirlby', 'Eileen Pedde', 'Rainn Wilson', 'Daniel Clark']",Jason Reitman
Constantine,2005-02-08,"['Fantasy', 'Action', 'Horror']","['self sacrifice', 'angel', 'christianity', 'confession', 'superhero', 'supernatural', 'exorcism', 'archangel gabriel', 'holy water', 'redemption', 'based on comic', 'lucifer', 'demon', 'occult', 'macabre', 'aftercreditsstinger', 'mysticism', 'supernatural power', 'good versus evil']","['Keanu Reeves', 'Rachel Weisz', 'Shia LaBeouf', 'Djimon Hounsou', 'Max Baker', 'Pruitt Taylor Vince', 'Gavin Rossdale', 'Tilda Swinton', 'Peter Stormare', 'Jesse Ramirez']",Francis Lawrence
Despicable Me 3,2017-06-15,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']","['prison', 'villain', 'twin brother', 'sequel', 'jail', 'illumination']","['Steve Carell', 'Kristen Wiig', 'Trey Parker', 'Miranda Cosgrove', 'Dana Gaier', 'Nev Scharrel', 'Steve Coogan', 'Julie Andrews', 'Jenny Slate', 'Pierre Coffin']",Kyle Balda
Kung Fu Panda 2,2011-05-25,"['Animation', 'Family', 'Comedy']","['mission', 'martial arts', 'kung fu', 'hope', 'villain', 'fleet', 'sequel', 'panda', 'friends', 'woman director']","['Jack Black', 'Angelina Jolie', 'Dustin Hoffman', 'Gary Oldman', 'Jackie Chan', 'Lucy Liu', 'Seth Rogen', 'David Cross', 'Michelle Yeoh', 'James Hong']",Jennifer Yuh Nelson
TRON: Legacy,2010-12-14,"['Adventure', 'Action', 'Science Fiction']","['artificial intelligence (a.i.)', 'computer program', 'secret identity', 'dystopia', 'simulation', 'super computer', 'utopia', 'deception', 'computer simulation', 'sequel', 'computer game', '80s style', 'autocracy', 'light cycle']","['Jeff Bridges', 'Garrett Hedlund', 'Olivia Wilde', 'Bruce Boxleitner', 'James Frain', 'Beau Garrett', 'Michael Sheen', 'Serinda Swan', 'Yaya DaCosta', 'Elizabeth Mathis']",Joseph Kosinski
The Boy in the Striped Pyjamas,2008-05-07,"['Drama', 'War', 'History']","['based on novel or book', 'nazi', 'nationalism', 'concentration camp', 'world war ii', 'gas chamber', 'concentration camp prisoner', 'children in wartime', 'anxious']","['Asa Butterfield', 'Vera Farmiga', 'David Thewlis', 'Jack Scanlon', 'Amber Beattie', 'Rupert Friend', 'David Hayman', 'Sheila Hancock', 'Richard Johnson', 'Cara Horgan']",Mark Herman
Jurassic Park III,2001-07-18,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['rescue', 'mission', 'exotic island', 'island', 'airplane', 'velociraptor', 'dna', 'tyrannosaurus rex', 'paleontology', 'spinosaurus', 'dinosaur', 'creature', 'scientist', 'amusement park', 'paragliding', 'pterodactyl', 'pterosaur', 'costa rica', 'animal horror']","['Sam Neill', 'William H. Macy', 'Téa Leoni', 'Alessandro Nivola', 'Trevor Morgan', 'Michael Jeter', 'John Diehl', 'Bruce A. Young', 'Laura Dern', 'Taylor Nichols']",Joe Johnston
Rush,2013-09-02,"['Drama', 'Action']","['car race', 'sports', 'world champion', 'based on true story', 'adventurer', 'formula one (f1)']","['Chris Hemsworth', 'Daniel Brühl', 'Olivia Wilde', 'Alexandra Maria Lara', 'Pierfrancesco Favino', 'David Calder', 'Natalie Dormer', 'Stephen Mangan', 'Christian McKay', 'Alistair Petrie']",Ron Howard
The Boss Baby,2017-03-23,"['Animation', 'Comedy', 'Family']","['baby', 'villain', 'family relationships', 'puppy', 'sibling rivalry', 'unreliable narrator', 'aftercreditsstinger', 'baby brother']","['Alec Baldwin', 'Steve Buscemi', 'Miles Bakshi', 'Jimmy Kimmel', 'Lisa Kudrow', 'Tobey Maguire', 'Conrad Vernon', 'James McGrath', 'David Soren', 'Nina Zoe Bakshi']",Ennio Torresan Jr.
Cinderella,2015-03-06,"['Romance', 'Fantasy', 'Family', 'Drama']","['magic', 'kingdom', 'fairy tale', 'prince', 'royalty', 'orphan', 'lost shoe', 'evil stepmother', 'based on fairy tale', 'retelling', 'live action and animation', 'live action remake']","['Lily James', 'Cate Blanchett', 'Richard Madden', 'Stellan Skarsgård', 'Holliday Grainger', 'Sophie McShera', 'Derek Jacobi', 'Helena Bonham Carter', 'Nonso Anozie', 'Ben Chaplin']",William Dodds
Little Miss Sunshine,2006-07-26,"['Comedy', 'Drama']","['california', 'husband wife relationship', 'sibling relationship', 'literature professor', ""family's daily life"", 'highway', 'beauty contest', 'beauty queen contest', 'dysfunctional family', 'road trip', 'family relationships', 'family holiday', 'road movie', 'woman director', 'lighthearted', 'empathetic']","['Greg Kinnear', 'Toni Collette', 'Steve Carell', 'Paul Dano', 'Abigail Breslin', 'Alan Arkin', 'Bryan Cranston', 'Beth Grant', 'Wallace Langham', 'Matt Winston']",Jonathan Dayton
Children of Men,2006-09-22,"['Drama', 'Action', 'Thriller', 'Science Fiction']","['future', 'government', 'police state', 'based on novel or book', 'hippie', 'england', 'faith', 'chaos', 'refugee camp', 'rebel', 'dystopia', 'miracle', 'childlessness', 'survival', 'birth', 'alcoholic', 'bombing', 'dying', 'terrorist group', 'fertility', 'soldiers', 'violence']","['Clive Owen', 'Clare-Hope Ashitey', 'Chiwetel Ejiofor', 'Julianne Moore', 'Michael Caine', 'Pam Ferris', 'Charlie Hunnam', 'Danny Huston', 'Peter Mullan', 'Oana Pellea']",Terry Needham
Nobody,2021-03-18,"['Action', 'Thriller']","['assassin', 'double life', 'midlife crisis', 'bratva (russian mafia)', 'secret organization', 'thief', 'home invasion', 'family', 'duringcreditsstinger', 'forceful']","['Bob Odenkirk', 'Aleksey Serebryakov', 'Connie Nielsen', 'Christopher Lloyd', 'Michael Ironside', 'Colin Salmon', 'Billy MacLellan', 'Araya Mengesha', 'Gage Munroe', 'Paisley Cadorath']",Vee Tulloch
Cloud Atlas,2012-10-26,"['Drama', 'Science Fiction']","['future', 'artificial intelligence (a.i.)', 'based on novel or book', 'san francisco, california', 'clone', 'dystopia', 'lgbt', 'multiple storylines', 'duringcreditsstinger', 'century', 'woman director', '1930s']","['Tom Hanks', 'Halle Berry', 'Jim Broadbent', 'Hugo Weaving', 'Jim Sturgess', 'Bae Doona', 'Ben Whishaw', ""James D'Arcy"", 'Zhou Xun', 'Keith David']",Sebastian Fahr-Brix
The Croods,2013-03-15,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Comedy', 'Action']","['daughter', 'parent child relationship', 'stone age', 'father', 'prehistory', 'ancient world', 'family', 'cavemen', 'aftercreditsstinger', 'duringcreditsstinger', 'pets']","['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds', 'Catherine Keener', 'Cloris Leachman', 'Clark Duke']",Chris Sanders
Midsommar,2019-07-03,"['Horror', 'Drama', 'Mystery']","['ritual', 'paranoia', 'sweden', 'melancholy', 'cult', 'hallucinogenic drug', 'magic mushroom', 'anthropology', 'human sacrifice', 'paganism', 'death of family', 'macabre', 'boyfriend girlfriend relationship', 'midsummer', 'cultural conflict', 'mysterious', 'disturbed', 'shocking', 'bad trip', 'folk horror', 'toxic relationship', 'midnight sun', 'isolated community', 'summer festival', 'traumatized woman', 'cautionary', 'introspective', 'violence', 'suspenseful', 'ambiguous', 'foreboding', 'frightened', 'horrified', 'tragic']","['Florence Pugh', 'Jack Reynor', 'William Jackson Harper', 'Will Poulter', 'Vilhelm Blomgren', 'Isabelle Grill', 'Gunnel Fred', 'Ellora Torchia', 'Archie Madekwe', 'Henrik Norlén']",Ari Aster
Cloverfield,2008-01-15,"['Action', 'Thriller', 'Science Fiction']","['quarantine', 'monster', 'chaos', 'skyscraper', 'supernatural', 'giant monster', 'alien', 'disaster', 'break-up', 'destruction', 'survival horror', 'kaiju', 'military', 'found footage', 'aftercreditsstinger', 'desperate', 'suspenseful', 'sinister', 'ominous', 'pessimistic']","['Lizzy Caplan', 'Jessica Lucas', 'T.J. Miller', 'Michael Stahl-David', 'Mike Vogel', 'Odette Annable', 'Anjul Nigam', 'Margot Farley', 'Theo Rossi', 'Brian Klugman']",Louis Guerra
Rampage,2018-04-11,"['Action', 'Adventure', 'Science Fiction']","['monster', 'wolf', 'mutation', 'gorilla', 'giant monster', 'lizard', 'giant lizard', 'creature', 'based on video game', 'giant animal', 'mutant animal', 'kaiju', 'albino', 'giant', 'rat', 'genetic experiment', 'destroyed city', 'giant gorilla', 'animal monster']","['Dwayne Johnson', 'Naomie Harris', 'Malin Åkerman', 'Jeffrey Dean Morgan', 'Jake Lacy', 'Joe Manganiello', 'Marley Shelton', 'P.J. Byrne', 'Demetrius Grosse', 'Jack Quaid']",Brad Peyton
Moonlight,2016-10-21,['Drama'],"['drug dealer', 'high school', 'florida', 'drug abuse', 'parent child relationship', 'fight', 'drug addiction', 'ghetto', 'restaurant', 'coming of age', 'male homosexuality', 'lgbt', 'addict', 'black lgbt', 'gay theme', ""boys' love (bl)""]","['Trevante Rhodes', 'André Holland', 'Janelle Monáe', 'Ashton Sanders', 'Jharrel Jerome', 'Alex R. Hibbert', 'Jaden Piner', 'Naomie Harris', 'Mahershala Ali', 'Shariff Earp']",Barry Jenkins
Click,2006-06-23,"['Comedy', 'Drama', 'Fantasy']","['dying and death', 'regret', 'workaholic', 'heart attack', 'architect', 'liposuction', 'time travel', 'remote control', 'obesity', 'hospital', 'wedding', 'dog', 'second chance', 'fatherhood', 'alternative reality', 'time jump']","['Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'David Hasselhoff', 'Henry Winkler', 'Julie Kavner', 'Sean Astin', 'Joseph Castanon', 'Jonah Hill', 'Jake Hoffman']",Frank Coraci
The Mummy Returns,2001-05-04,"['Adventure', 'Action', 'Fantasy']","['egypt', 'pyramid', 'son', 'mummy', 'nile', 'sequel', 'tomb', 'ancient egypt', '1930s', 'egyptian tomb', 'good versus evil']","['Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Oded Fehr', 'Arnold Vosloo', 'Patricia Velásquez', 'Freddie Boath', 'Dwayne Johnson', 'Alun Armstrong', 'Adewale Akinnuoye-Agbaje']",Jamie Christopher
Wanted,2008-06-19,"['Action', 'Thriller', 'Crime']","['mission of murder', 'secret base', 'secret organization', 'instinct', 'train crash', 'revenge', 'betrayal', 'fate', 'based on graphic novel', 'healing process', 'hidden powers', 'legacy', 'secret code', 'trainsurfing', 'weapons training', 'office worker', 'physical training', 'pushover', 'intense', 'assassins', 'extraordinary powers', 'car chase', 'murder of father']","['James McAvoy', 'Angelina Jolie', 'Morgan Freeman', 'Terence Stamp', 'Thomas Kretschmann', 'Common', 'Kristen Hager', 'Marc Warren', ""David O'Hara"", 'Dato Bakhtadze']",Lori Wyant
El hoyo,2019-11-08,"['Drama', 'Science Fiction', 'Thriller']","['dystopia', 'survival', 'struggle for survival', 'secret prison', 'food shortage', 'social experiment']","['Ivan Massagué', 'Antonia San Juan', 'Zorion Eguileor', 'Emilio Buale', 'Alexandra Masangkay', 'Zihara Llana', 'Mario Pardo', 'Txubio Fernández de Jáuregui', 'Eric Goode', 'Óscar Oliver']",Galder Gaztelu-Urrutia
Jack Reacher,2012-12-20,"['Crime', 'Drama', 'Thriller', 'Action']","['sniper', 'coma', 'based on novel or book', 'war veteran', 'mass murder', 'detective', 'investigation', 'betrayal', 'conspiracy', 'police chase', 'investigator', 'district attorney', 'defense attorney', 'military police', 'loner', 'purple heart', 'framed for murder', 'ex military', 'off the grid', 'mass shooting', 'father daughter relationship', 'victims', 'army veteran', 'backstory', 'physical evidence', 'fist fight', 'mass murderer', 'gun range']","['Tom Cruise', 'Rosamund Pike', 'Richard Jenkins', 'David Oyelowo', 'Jai Courtney', 'Robert Duvall', 'Vladimir Sizov', 'Joseph Sikora', 'Nicole Forester', 'Michael Raymond-James']",Jessica Lichtner
Tomorrowland,2015-05-19,"['Adventure', 'Family', 'Mystery', 'Science Fiction']","['inventor', 'apocalypse', 'destiny', 'dreamer', 'futuristic car', 'futuristic city']","['Britt Robertson', 'George Clooney', 'Raffey Cassidy', 'Hugh Laurie', 'Tim McGraw', 'Chris Bauer', 'Shiloh Nelson', 'Kathryn Hahn', 'Keegan-Michael Key', 'Thomas Robinson']",Brad Bird
The Girl with the Dragon Tattoo,2011-12-14,"['Thriller', 'Crime', 'Mystery']","['journalist', 'island', 'rape', 'hacker', 'based on novel or book', 'nazi', 'journalism', 'investigation', 'punk rock', 'scandinavia', 'stockholm, sweden', 'remake', 'antisocial personality disorder', 'disappearance', 'serial killer', 'hacking', 'sadist', 'bible quote', 'dead cat', 'millennium', 'based on movie', 'abuse', 'locked room mystery', 'tense']","['Daniel Craig', 'Rooney Mara', 'Christopher Plummer', 'Stellan Skarsgård', 'Robin Wright', 'Yorick van Wageningen', 'Steven Berkoff', 'Joely Richardson', 'Geraldine James', 'Goran Visnjic']",David Fincher
The Thing,1982-06-25,"['Horror', 'Mystery', 'Science Fiction']","['spacecraft', 'space marine', 'based on novel or book', 'isolation', 'mutation', 'paranoia', 'snowstorm', 'research station', 'alien life-form', 'alien', 'remake', 'creature', 'helicopter pilot', 'antarctica', 'shape shifting alien', 'alien infection', 'sled dogs', 'alien monster', 'alien parasites', 'isolated place', 'uncertainty', 'body horror', 'ambiguity']","['Kurt Russell', 'Keith David', 'Wilford Brimley', 'T.K. Carter', 'David Clennon', 'Richard Dysart', 'Charles Hallahan', 'Peter Maloney', 'Richard Masur', 'Donald Moffat']",John Carpenter
Neighbors,2014-05-08,['Comedy'],"['baby', 'routine', 'house party', 'parenting', 'family', 'new neighbor', 'fraternity', 'fraternity house', 'neighbor neighbor relationship', 'bathroom humor', 'partying', 'pranks', 'stay-at-home mom']","['Seth Rogen', 'Zac Efron', 'Rose Byrne', 'Dave Franco', 'Christopher Mintz-Plasse', 'Jerrod Carmichael', 'Ike Barinholtz', 'Carla Gallo', 'Halston Sage', 'Craig Roberts']",Brenda Lopez
Brokeback Mountain,2005-10-22,"['Drama', 'Romance']","['secret love', 'wyoming, usa', 'countryside', 'homophobia', 'marriage crisis', 'intolerance', 'in the closet', 'summer', 'cowboy', 'lgbt', 'star crossed lovers', '1960s', 'closeted homosexual', 'gay romance', 'gay theme', 'gay relationship', ""boys' love (bl)""]","['Heath Ledger', 'Jake Gyllenhaal', 'Michelle Williams', 'Anne Hathaway', 'Randy Quaid', 'Linda Cardellini', 'Anna Faris', 'David Harbour', 'Roberta Maxwell', 'Kate Mara']",Ang Lee
Scream,1996-12-20,"['Crime', 'Horror', 'Mystery']","['high school', 'small town', 'riddle', 'killing', 'halloween', 'house party', 'serial killer', 'school', 'slasher', 'whodunit', 'killing spree', 'phone', 'tabloid', 'news reporter', 'self-referential', 'crime spree', 'halloween costume', 'young adult', 'teenager', 'reminiscent']","['David Arquette', 'Neve Campbell', 'Courteney Cox', 'Matthew Lillard', 'Rose McGowan', 'Skeet Ulrich', 'Jamie Kennedy', 'W. Earl Brown', 'Joseph Whipp', 'Liev Schreiber']",Wes Craven
Marriage Story,2019-09-28,['Drama'],"['infidelity', 'new york city', 'husband wife relationship', 'parent child relationship', 'theatre group', 'theater director', 'lawyer', 'los angeles, california', 'divorce', 'divorce lawyer', 'thoughtful', 'complex', 'intense', 'sincere']","['Adam Driver', 'Scarlett Johansson', 'Laura Dern', 'Alan Alda', 'Ray Liotta', 'Julie Hagerty', 'Merritt Wever', 'Azhy Robertson', 'Wallace Shawn', 'Martha Kelly']",Noah Baumbach
Scary Movie,2000-07-07,['Comedy'],"['high school', 'psychopath', 'garage', 'satire', 'parody', 'crude humor', 'spoof', 'horror spoof', 'drugs', 'aftercreditsstinger', 'horror parody']","['Anna Faris', 'Jon Abrahams', 'Marlon Wayans', 'Shawn Wayans', 'Regina Hall', 'Shannon Elizabeth', 'Cheri Oteri', 'Carmen Electra', 'Tanja Reichert', 'Lochlyn Munro']",Madeleine Duff
The Witch,2016-02-19,"['Drama', 'Mystery', 'Horror', 'History']","['witch', 'isolation', 'magic', 'possession', 'black magic', 'older woman seduces younger guy', 'new hampshire', 'woods', 'goat', 'puritan', 'religion', 'crying', 'false accusations', 'biting', 'witchcraft', 'new england', 'praying', '17th century', 'folk horror', 'evil force', 'dreary', 'corruption of a minor', 'english colony', 'callous']","['Anya Taylor-Joy', 'Ralph Ineson', 'Kate Dickie', 'Harvey Scrimshaw', 'Ellie Grainger', 'Lucas Dawson', 'Julian Richings', 'Bathsheba Garnett', 'Sarah Stephens', 'Daniel Malik']",Robert Eggers
Captain Phillips,2013-10-10,"['Action', 'Drama', 'Thriller']","['ship', 'africa', 'fisherman', 'hijacking', 'somalia', 'poverty', 'pirate', 'terrorism', 'commando', 'hijack', 'cargo ship', 'ship hijacking', 'somali', 'set in africa']","['Tom Hanks', 'Barkhad Abdi', 'Barkhad Abdirahman', 'Faysal  Ahmed', 'Mahat M. Ali', 'Michael Chernus', 'David Warshofsky', 'Corey Johnson', 'Chris Mulkey', 'Yul Vazquez']",Paul Greengrass
Spider-Man: Across the Spider-Verse,2023-05-31,"['Animation', 'Action', 'Adventure', 'Science Fiction']","['new york city', 'hero', 'sacrifice', 'superhero', 'villain', 'portal', 'based on comic', 'sequel', 'romance', 'alter ego', 'alternate dimension', 'india', 'parenting', 'family', 'alternate version', 'super power', 'brooklyn, new york city', 'superhero team', 'spider bite', 'super villain', 'cliffhanger', 'teenage romance', 'young heroes', 'teen superhero', 'teen social issues', 'chelsea', 'alternate universe', 'superhero teamup', 'female superhero', 'slow burn romance', 'interdimensional travel']","['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez', 'Jake Johnson', 'Oscar Isaac', 'Jason Schwartzman', 'Issa Rae', 'Daniel Kaluuya', 'Karan Soni']",Kemp Powers
Easy A,2010-09-16,['Comedy'],"['high school', 'small town', 'lie', 'loss of virginity', 'coming of age', 'teen movie', 'school', 'female protagonist', 'high school student', 'teen comedy', 'intelligent', 'duringcreditsstinger', 'small town girl', 'rumor', 'teen drama', 'pretend relationship', 'gay friend', 'teenager']","['Emma Stone', 'Penn Badgley', 'Amanda Bynes', 'Dan Byrd', 'Thomas Haden Church', 'Patricia Clarkson', 'Cam Gigandet', 'Lisa Kudrow', 'Malcolm McDowell', 'Aly Michalka']",Will Gluck
The Fast and the Furious: Tokyo Drift,2006-06-03,"['Action', 'Crime', 'Drama', 'Thriller']","['car race', 'car journey', 'car mechanic', 'car garage', 'auto-tuning', 'street race', 'drifting', 'tokyo, japan']","['Lucas Black', 'Nathalie Kelley', 'Sung Kang', 'Shad Moss', 'Brian Tee', 'Leonardo Nam', 'Brian Goodman', 'Zachery Ty Bryan', 'Nikki Griffin', 'Jason Tobin']",Justin Lin
Madagascar: Escape 2 Africa,2008-10-30,"['Family', 'Adventure', 'Animation', 'Comedy']","['dance', 'friendship', 'jealousy', 'airplane', 'africa', 'hunger', 'lion', 'zoo', 'hippopotamus', 'giraffe', 'chimp', 'penguin', 'cartoon', 'villain', 'volcano', 'zebra', 'sequel', 'slapstick comedy', 'madagascar', 'friends', 'shark', 'animals', 'duringcreditsstinger', 'lemur', 'talking animal', 'understated']","['Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen', 'Cedric the Entertainer', 'Andy Richter', 'Bernie Mac', 'Alec Baldwin', 'Sherri Shepherd']",Eric Darnell
Hellboy,2004-04-02,"['Fantasy', 'Action']","['nazi', 'sacrifice', 'superhero', 'paranormal phenomena', 'black magic', 'adoptive father', 'based on comic', 'steampunk', 'narration from grave', 'apocalypse', 'demon', 'supernatural creature', 'monolith', 'occult', 'super strength', 'father figure', 'reanimated corpse', 'duringcreditsstinger', 'other dimension', 'psychic powers', 'pyrokinesis']","['Ron Perlman', 'Selma Blair', 'Doug Jones', 'John Hurt', 'Rupert Evans', 'Jeffrey Tambor', 'Ladislav Beran', 'Bridget Hodson', 'Karel Roden', 'Brian Steele']",Guillermo del Toro
